id,title,description,link,image_link,availability,availability_​date,price,identifier_​exists
HO00004372,Spider-Man: No Way Home,"Пригоди, Фентезі, Екшн, Бойовик",https://multiplex.ua/ua/movie/354682,https://multiplex.ua/images/66/9f/669fc7c2335f9da2e7864bdecdfd1b87.jpeg,preorder,2021-12-23,80 UAH,no
HO00004008,The Doors: Live at the Bowl '68,Концерт,https://multiplex.ua/ua/movie/354295,https://multiplex.ua/images/3c/6e/3c6ea8bc302ff7223461f055662530d3.jpeg,preorder,2021-12-31,150 UAH,no
HO00000252,Дванадцята ніч (Globe),"Театр, Спектакль, Комедія",https://multiplex.ua/ua/movie/454,https://multiplex.ua/images/86/df/86df96cf36f4988a55eee79df35989e1.jpeg,preorder,2021-12-31,190 UAH,no
HO00001554,Загадкове нічне вбивство собаки,"Спектакль, Театр",https://multiplex.ua/ua/movie/351638,https://multiplex.ua/images/52/fa/52fa11631cac85d7119e34358785b28e.jpeg,preorder,2021-12-29,190 UAH,no
HO00004295,Руки геть!,Комедія,https://multiplex.ua/ua/movie/354598,https://multiplex.ua/images/df/03/df03323a7664f37440ae11a5dad1a403.jpeg,in stock,,90 UAH,no
HO00001148,Чарівна флейта,"Опера, Театр",https://multiplex.ua/ua/movie/351198,https://multiplex.ua/images/ac/e5/ace558a142a89f5b8e8a3862ef31b077.jpeg,preorder,2021-12-29,795 UAH,no
HO00001248,Лускунчик,"Балет, Театр",https://multiplex.ua/ua/movie/351300,https://multiplex.ua/images/4a/b1/4ab1ce6661a7cc1e9e3c6f9c9e8689b7.jpeg,preorder,2021-12-25,190 UAH,no
HO00002886,Співай 2,"Анімація, Сімейний, Комедія, Пригоди, Мультфільм",https://multiplex.ua/ua/movie/353084,https://multiplex.ua/images/ea/51/ea517cd9ccee8e7af1f5e7be8ad92d3e.jpeg,preorder,2021-12-23,50 UAH,no
HO00004341,La Scala : Кармен,Опера,https://multiplex.ua/ua/movie/354650,https://multiplex.ua/images/be/1f/be1f3be6c8adea6e406bf5bd0f11211d.jpeg,in stock,,190 UAH,no
HO00003812,Енканто: Світ магії,"Пригоди, Анімація, Сімейний, Мюзикл, Фентезі",https://multiplex.ua/ua/movie/354082,https://multiplex.ua/images/c5/3b/c53bf4fb13aaf25838a7934b9ebb86d4.jpeg,in stock,,70 UAH,no
HO00001150,Ренуар - Невідомий художник,"Театр, Мистецтво",https://multiplex.ua/ua/movie/351200,https://multiplex.ua/images/4a/ed/4aed7e3afa2a2dd5e075d32c19c00344.jpeg,preorder,2021-12-25,795 UAH,no
HO00003273,Зірки за обміном,"Комедія, Сімейний",https://multiplex.ua/ua/movie/353495,https://multiplex.ua/images/f0/5e/f05ebff8360646a3b2dc87192ed2cc51.jpeg,preorder,2021-12-30,79 UAH,no
HO00003279,Мандрівний замок,"Анімація, Пригоди, Сімейний, Фентезі",https://multiplex.ua/ua/movie/353501,https://multiplex.ua/images/e7/0b/e70bcd2610efd70aa5a4ca2099e558be.jpeg,in stock,,100 UAH,no
HO00004111,Ейфель,"Біографічний, Драма",https://multiplex.ua/ua/movie/354404,https://multiplex.ua/images/83/6d/836d54900208a46a068ef0193ce988af.jpeg,in stock,,50 UAH,no
HO00004137,Оселя Зла: Вітаємо у Раккун-Сіті,"Пригоди, Екшн, Жахи, Фантастика",https://multiplex.ua/ua/movie/354430,https://multiplex.ua/images/e6/16/e616dad86e7fb3c9e04595b03926920d.jpeg,in stock,,75 UAH,no
HO00003985,Дім Ґуччі,"Кримінал, Трилер, Драма",https://multiplex.ua/ua/movie/354272,https://multiplex.ua/images/97/bd/97bdf9794b176cb4aa59e2f62bebf924.jpeg,in stock,,50 UAH,no
HO00003986,Людина-павук: Додому шляху нема ,"Пригоди, Екшн, Фентезі, Бойовик",https://multiplex.ua/ua/movie/354273,https://multiplex.ua/images/55/f1/55f11c2da886b53dd00ee0ff52bc5a3f.jpeg,in stock,,50 UAH,no
HO00003160,Хансард,Спектакль,https://multiplex.ua/ua/movie/353375,https://multiplex.ua/images/3b/12/3b1271ef493b26de34da589021eee912.jpeg,preorder,2021-12-25,190 UAH,no
HO00004347,House of Gucci,"Кримінал, Трилер, Драма",https://multiplex.ua/ua/movie/354656,https://multiplex.ua/images/9a/b2/9ab29fd160820cec7631aa9d491cbe75.jpeg,in stock,,795 UAH,no
HO00004346,Дуже поганий татусь,Комедія,https://multiplex.ua/ua/movie/354655,https://multiplex.ua/images/e0/f1/e0f14462d996ff5e864b445d98494bb1.jpeg,preorder,2021-12-23,50 UAH,no
HO00004250,Мій коханий ворог,"Комедія, Романтика",https://multiplex.ua/ua/movie/354548,https://multiplex.ua/images/e9/b5/e9b5a44b10cd574016669e2c7ba3cfb9.jpeg,in stock,,110 UAH,no
HO00003725,Матриця: Воскресіння,"Екшн, Бойовик, Фантастика",https://multiplex.ua/ua/movie/353984,https://multiplex.ua/images/87/19/8719d07448b9e2229448747c8bd73871.jpeg,in stock,,50 UAH,no
HO00004175,Спенсер: Таємниця принцеси Діани,"Історичний, Драма, Біографічний",https://multiplex.ua/ua/movie/354469,https://multiplex.ua/images/8e/3e/8e3e5384f5d8878f1e8c5540faad01f0.jpeg,in stock,,90 UAH,no
HO00004336,Механічний апельсин,"Кримінал, Драма, Трилер, Фантастика",https://multiplex.ua/ua/movie/354644,https://multiplex.ua/images/8b/e3/8be38f0751a7145ce952991fc8d10f03.jpeg,preorder,2021-12-23,79 UAH,no
